County	All Total	All Added	All Deleted	Democrats Total	Democrats Added	Democrats Deleted	Democrats Changed Out	Democrats Changed In	Republicans Total	Republicans Added	Republicans Deleted	Republicans Changed Out	Republicans Changed In	No Party Total	No Party Added	No Party Deleted	No Party Changed Out	No Party Changed In	Third Party Total	Third Party Added	Third Party Deleted	Third Party Changed Out	Third Party Changed In	D to R Total	R to D Total	American Indians or Alaskan Natives Total	American Indians or Alaskan Natives Added	American Indians or Alaskan Natives Deleted	Asians Or Pacific Islanders Total	Asians Or Pacific Islanders Added	Asians Or Pacific Islanders Deleted	Blacks Total	Blacks Added	Blacks Deleted	Hispanics Total	Hispanics Added	Hispanics Deleted	Whites Total	Whites Added	Whites Deleted	Other Races Total	Other Races Added	Other Races Deleted	Men Total	Men Added	Men Deleted	Women Total	Women Added	Women Deleted	Black Women Total	Black Women Added	Black Women Deleted	Black Democrats Total	Black Democrats Added	Black Democrats Deleted	Black Republicans Total	Black Republicans Added	Black Republicans Deleted	Hispanic Democrats Total	Hispanic Democrats Added	Hispanic Democrats Deleted	Hispanic Republicans Total	Hispanic Republicans Added	Hispanic Republicans Deleted	Under 30 Total	Under 30 Added	Under 30 Deleted	30 to 39 Total	30 to 39 Added	30 to 39 Deleted	40 to 49 Total	40 to 49 Added	40 to 49 Deleted	50 to 59 Total	50 to 59 Added	50 to 59 Deleted	60 to 69 Total	60 to 69 Added	60 to 69 Deleted	70 and over Total	70 and over Added	70 and over Deleted	Under 30 Republicans Total	Under 30 Republicans Added	Under 30 Republicans Deleted	Under 30 Democrats Total	Under 30 Democrats Added	Under 30 Democrats Deleted	White Democrats Total	White Democrats Added	White Democrats Deleted	White Republicans Total	White Republicans Added	White Republicans Deleted	AoPI Democrats Total	AoPI Democrats Added	AoPI Democrats Deleted	AoPI Republicans Total	AoPI Republicans Added	AoPI Republicans Deleted	American’s Party of Florida Total	American’s Party of Florida Added	American’s Party of Florida Deleted	American’s Party of Florida Changed Out	American’s Party of Florida Changed In	Constitution Party of Florida Total	Constitution Party of Florida Added	Constitution Party of Florida Deleted	Constitution Party of Florida Changed Out	Constitution Party of Florida Changed In	Ecology Party of Florida Total	Ecology Party of Florida Added	Ecology Party of Florida Deleted	Ecology Party of Florida Changed Out	Ecology Party of Florida Changed In	Green Party of Florida Total	Green Party of Florida Added	Green Party of Florida Deleted	Green Party of Florida Changed Out	Green Party of Florida Changed In	Independence Party of Florida Total	Independence Party of Florida Added	Independence Party of Florida Deleted	Independence Party of Florida Changed Out	Independence Party of Florida Changed In	Independent Party of Florida Total	Independent Party of Florida Added	Independent Party of Florida Deleted	Independent Party of Florida Changed Out	Independent Party of Florida Changed In	Libertarian Party of Florida Total	Libertarian Party of Florida Added	Libertarian Party of Florida Deleted	Libertarian Party of Florida Changed Out	Libertarian Party of Florida Changed In	Party for Socialism and Liberation Florida Total	Party for Socialism and Liberation Florida Added	Party for Socialism and Liberation Florida Deleted	Party for Socialism and Liberation Florida Changed Out	Party for Socialism and Liberation Florida Changed In	Reform Party Total	Reform Party Added	Reform Party Deleted	Reform Party Changed Out	Reform Party Changed In
Lafayette	4477	15	14	2748	5	10	3	2	1427	7	2	2	3	249	3	1	0	0	53	0	1	0	0	3	2	3	0	0	6	0	0	250	0	1	110	0	0	4089	15	13	19	0	0	2162	10	8	2311	5	6	155	0	0	227	0	1	14	0	0	51	0	0	40	0	0	738	6	2	672	2	2	747	1	1	786	1	2	748	5	1	756	0	6	323	3	0	337	3	1	2460	5	9	1361	7	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	0	0	0	0	40	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lake	232090	1735	751	74197	473	249	79	75	100510	674	321	60	117	49102	556	151	120	79	8281	32	30	28	16	45	19	654	9	0	3036	29	9	18951	120	56	19009	227	50	183762	1281	623	6678	69	13	106593	808	361	125491	922	390	10942	61	34	14957	87	42	1059	5	2	8418	74	20	3992	57	7	32203	424	104	28010	268	87	32188	235	68	38628	272	94	42450	312	120	57127	217	271	10686	131	35	10013	112	30	46996	282	179	93018	586	305	1049	7	2	823	7	5	3	1	0	0	0	18	0	0	0	0	1	0	0	0	0	69	0	0	0	2	1159	2	4	5	0	6556	25	25	20	10	434	4	1	1	5	2	0	0	0	0	39	0	0	3	0
Lee	468671	2907	1669	131195	733	468	963	1025	198017	953	666	502	2097	126472	1151	483	2077	652	12987	70	52	295	63	658	211	1267	4	7	4665	31	16	26697	176	103	43538	461	179	378429	2116	1311	14075	119	53	215618	1384	798	244965	1414	835	15109	91	52	19449	106	70	1346	7	5	17634	191	61	9007	72	38	65675	945	290	55324	335	220	59122	349	166	78485	433	231	94795	549	259	114007	294	502	18538	255	81	18646	244	82	88080	391	311	182347	851	613	1321	6	3	1303	4	2	11	0	0	0	0	36	1	0	1	2	2	0	0	0	0	159	0	0	3	2	2427	10	4	49	4	9540	55	46	234	41	765	4	1	9	14	4	0	1	0	0	43	0	0	0	1
Leon	207852	850	1922	110702	350	891	64	105	58110	244	580	115	53	34223	228	398	74	78	4817	28	53	14	31	33	48	665	1	2	3506	24	26	58220	246	494	7774	45	99	128217	481	1203	9470	53	98	90577	381	822	111295	428	1049	34454	124	306	49558	173	411	1382	10	6	3557	21	46	1891	8	27	65509	469	870	37556	131	399	27520	78	225	29019	80	196	27057	58	109	20242	33	122	14586	135	228	34073	191	404	51810	123	373	52616	212	531	1489	10	14	692	7	6	9	0	0	0	2	23	0	1	0	1	6	0	0	0	0	133	0	1	0	0	732	2	3	3	0	3387	24	40	10	11	493	2	8	1	14	9	0	0	0	3	25	0	0	0	0
Levy	27495	165	109	10046	41	39	23	4	12229	76	45	2	28	3830	40	15	12	7	1390	8	10	2	0	16	2	76	1	0	129	0	0	2240	9	8	883	7	3	23624	147	96	543	1	2	12739	67	49	14663	96	60	1276	3	4	1914	7	8	120	0	0	364	2	1	245	1	1	4332	59	21	3278	22	13	3544	16	12	5202	33	17	5536	23	12	5547	11	34	1853	28	8	1242	10	8	7474	32	29	11648	75	44	44	0	0	48	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	5	0	2	0	0	238	0	2	0	0	704	7	4	0	0	433	1	2	2	0	0	0	0	0	0	3	0	0	0	0
Liberty	4656	30	11	3519	11	8	2	7	763	14	2	6	2	346	5	1	1	0	28	0	0	0	0	2	6	48	2	0	14	1	0	416	2	3	42	0	0	4104	25	8	32	0	0	2185	18	5	2461	12	6	218	2	1	382	1	3	10	0	0	24	0	0	12	0	0	954	16	6	752	5	0	729	6	3	860	2	0	690	1	0	645	0	2	188	4	2	625	8	4	3061	10	5	726	12	2	10	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	15	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Madison	12295	49	39	7776	12	22	10	5	3179	20	12	6	10	1095	17	5	2	4	245	0	0	1	0	8	4	35	0	0	32	0	0	4246	8	15	150	5	0	7448	32	20	384	4	4	5426	22	20	6607	27	18	2488	5	7	3931	6	15	92	1	0	57	1	0	39	0	0	2060	20	5	1805	4	9	1839	9	3	2160	8	7	2240	5	6	2156	3	9	503	6	1	1177	7	3	3538	3	6	2959	19	10	10	0	0	13	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	32	0	0	0	0	188	0	0	1	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Manatee	241069	1512	742	75414	465	266	833	762	103764	563	274	453	1449	55526	450	178	1153	314	6365	34	24	153	67	687	250	731	4	5	3294	35	5	16003	98	44	13764	143	28	201107	1186	640	6170	46	20	108582	653	357	129174	811	378	9461	51	25	12871	68	36	674	5	2	5772	64	12	2874	23	6	30885	397	96	29067	183	78	32714	200	77	43213	256	104	47987	280	114	56333	194	270	9883	126	34	9678	126	32	53779	304	207	97411	516	262	880	9	4	1089	9	0	6	0	0	0	0	18	1	0	0	1	2	0	0	0	1	109	1	0	1	1	1344	2	3	38	3	4402	26	18	99	42	448	4	3	15	19	0	0	0	0	0	36	0	0	0	0
Monroe	60915	452	257	19700	104	76	24	186	22647	155	77	6	236	16853	175	94	401	15	1715	18	10	10	4	16	4	255	0	2	499	2	1	2147	21	7	5945	52	22	50598	354	221	1471	23	4	31257	233	128	28941	206	125	1053	11	1	1528	14	1	105	1	0	1979	16	6	2121	14	9	7380	132	31	7976	68	34	8964	66	25	12924	94	43	13077	67	52	10093	24	71	1834	34	8	2175	33	8	15465	66	66	19881	134	67	164	0	0	127	1	0	0	0	1	0	0	2	0	0	0	0	2	0	0	0	0	40	0	0	1	1	167	2	1	0	0	1316	14	8	8	3	183	2	0	2	1	1	0	0	0	0	4	0	0	0	0
Marion	245876	1391	801	85408	390	288	84	45	106083	567	311	60	112	44263	402	163	79	64	10122	32	39	15	17	53	14	920	3	3	2415	17	6	24496	103	88	18197	166	54	194334	1053	633	5514	49	17	110955	618	412	133194	735	387	14452	57	43	20497	75	72	1106	6	0	8853	65	22	4297	34	19	34706	433	106	27488	163	79	29779	150	67	39181	221	107	46963	225	104	67088	198	337	11896	153	35	12145	127	39	52734	220	186	98222	515	283	819	7	1	785	4	3	67	0	0	0	0	62	1	1	0	0	13	0	0	0	0	104	2	0	0	0	1714	3	5	2	1	7588	23	31	13	6	532	3	1	1	11	8	0	0	0	0	34	0	1	0	0
Martin	116511	799	404	29866	219	105	44	27	57157	265	200	32	66	23644	281	79	42	24	5844	34	20	10	11	36	13	293	5	2	866	9	4	4163	34	12	5056	74	23	103941	621	359	2192	56	4	54092	355	209	61336	385	192	2386	21	2	3075	26	9	387	0	1	1863	33	8	1399	9	9	15894	305	62	11581	102	35	13857	75	34	21615	126	65	22407	118	64	30524	73	143	5649	84	28	4092	74	13	24032	151	84	54411	247	188	228	2	0	282	4	1	3	0	0	0	0	6	0	0	0	0	2	0	0	0	0	45	0	0	1	0	609	3	0	1	1	4968	28	19	9	9	189	3	1	0	2	2	0	0	0	0	20	0	0	0	0
Nassau	61585	415	174	14610	58	50	108	6	34240	213	92	9	164	10658	123	28	52	10	2077	21	4	12	1	106	2	217	1	1	404	5	0	3353	24	12	982	12	2	55058	365	154	1571	8	5	29014	191	82	31642	215	85	1865	13	8	2759	18	11	167	0	1	267	2	0	384	2	2	10258	143	27	8628	53	21	9400	60	14	11366	68	20	11647	59	35	9925	32	56	5292	75	16	1767	15	7	10970	35	37	32870	206	87	77	1	0	163	3	0	0	0	0	0	0	11	1	0	0	0	2	0	0	0	0	15	0	0	0	0	280	1	1	2	0	1567	18	2	10	1	194	1	1	0	0	0	0	0	0	0	8	0	0	0	0
Okaloosa	151305	872	399	30639	176	74	33	33	85534	409	220	45	56	32193	257	96	62	38	2939	30	9	4	17	20	7	813	10	1	3803	15	6	12368	75	23	5393	61	23	124127	671	339	4801	40	7	72412	423	189	77060	426	205	6346	32	12	8456	40	15	1176	9	2	1472	17	7	2053	21	8	29644	349	91	28619	154	77	23387	115	50	27487	120	63	21535	92	50	20018	40	68	13976	145	43	5457	75	16	18861	98	50	78132	357	205	629	4	0	1921	7	3	13	1	0	0	0	23	0	0	0	1	1	0	0	0	0	56	0	1	0	1	259	1	0	0	1	2068	25	8	4	7	482	3	0	0	6	5	0	0	0	0	32	0	0	0	1
Okeechobee	20813	137	79	8405	39	27	52	6	8187	56	31	5	56	3544	35	17	13	11	677	7	4	3	0	47	0	92	1	0	135	0	1	1048	11	5	1970	14	4	17008	109	67	560	2	2	9349	66	42	11030	64	35	613	3	4	883	9	5	46	1	0	889	5	1	418	4	1	3483	52	16	2695	18	6	2864	14	5	3604	24	9	3597	13	18	4284	16	23	1117	21	3	992	13	6	6377	24	20	7540	50	30	51	0	0	32	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	7	0	0	0	0	30	0	0	1	0	606	6	4	3	1	23	1	0	0	0	0	0	0	0	0	8	0	0	0	0
Orange	818544	8186	2696	345712	3158	1114	277	589	224424	1791	818	224	292	229729	3026	693	684	273	18679	211	71	49	80	107	95	2436	22	8	27647	230	47	144449	1264	381	190713	2345	650	399553	3746	1465	53746	579	145	367889	3614	1205	421419	4164	1412	81755	702	195	112825	859	296	5154	39	21	89669	1083	318	28288	249	107	188268	3494	621	159907	1801	520	143123	1121	353	139641	944	409	101785	501	299	81878	318	478	36985	680	137	78554	1318	253	112975	979	417	176048	1375	662	8923	79	22	6955	48	6	10	1	0	1	0	44	0	0	0	1	6	0	0	0	0	372	4	2	1	2	2867	28	9	5	11	13470	154	51	42	47	1830	23	8	3	21	10	1	0	0	1	70	0	1	0	0
Osceola	207727	2594	940	88433	1133	397	95	281	49925	420	228	90	87	64934	1001	298	288	102	4435	40	17	11	14	26	50	618	10	4	3970	45	16	17850	185	78	93429	1526	378	81675	679	428	10185	149	36	95123	1165	417	107629	1315	507	9586	94	45	13274	119	59	734	5	4	45878	767	177	11604	117	45	43785	951	219	35772	477	185	37667	412	134	36525	350	135	28846	256	121	24050	145	141	7290	141	34	17350	362	90	23160	170	137	35121	273	170	1520	16	7	878	5	2	7	0	0	0	0	16	1	0	0	0	13	0	0	0	0	50	0	0	0	0	537	3	1	0	0	3487	29	15	10	12	301	7	1	1	2	2	0	0	0	0	22	0	0	0	0
Palm Beach	952525	5137	2550	406090	2005	1129	317	612	269482	1264	717	225	442	242593	1691	602	756	245	34360	177	102	112	111	173	113	2344	16	9	16160	136	37	128913	753	274	99012	832	203	660539	2992	1902	45557	408	125	423355	2254	1200	505015	2521	1273	72941	388	143	101829	560	216	4475	21	10	42856	370	93	19597	124	42	141953	2024	360	128952	691	291	138405	633	238	166730	640	307	153501	662	353	221125	484	999	28703	436	60	59348	823	161	237806	880	757	234586	1015	633	5709	46	14	3101	30	5	48	0	0	0	0	64	0	0	0	1	12	0	0	0	0	429	3	3	2	1	4597	41	12	17	17	27655	121	77	89	78	1429	11	10	6	15	12	0	0	1	2	114	1	0	0	0
Pasco	351787	2552	1294	114666	792	451	113	100	134520	923	459	97	151	85738	739	304	150	99	16863	98	80	28	38	73	26	1332	6	2	5546	51	12	15769	183	63	28850	368	97	289874	1830	1079	10416	114	41	162085	1148	625	184900	1323	647	8292	105	30	11468	133	36	844	6	8	12409	156	35	6368	64	16	54083	821	225	50069	425	167	56553	394	127	62520	342	164	58906	349	189	67493	219	414	15745	250	65	15929	246	76	85463	455	361	122879	804	422	1584	11	4	1592	16	3	18	0	0	0	0	34	0	0	1	3	3	0	0	0	0	163	0	2	1	0	3181	10	15	6	0	12540	83	59	19	29	843	5	4	1	6	3	0	0	0	0	78	0	0	0	0
Pinellas	689793	4146	2632	248463	1301	931	213	217	241693	1189	926	199	237	173236	1496	676	313	250	26401	160	99	66	87	85	54	2282	15	9	15197	107	48	60053	402	173	31367	311	102	558447	3051	2238	22447	260	62	311810	1865	1220	366035	2039	1379	35035	201	83	47642	247	127	2203	21	8	13551	130	52	6375	50	19	108419	1486	349	93849	670	335	98528	539	269	132348	643	360	123791	505	438	130670	291	876	27742	377	88	37788	469	101	174307	831	718	223952	1061	875	4295	25	11	4062	24	13	50	0	0	1	0	78	0	0	2	1	16	0	0	0	0	542	6	1	4	4	2947	13	11	6	2	20655	120	79	52	65	1976	21	8	5	18	16	0	0	0	2	121	0	0	1	0
Polk	410026	2396	2968	151983	802	1069	137	142	147013	689	899	86	198	98796	847	889	212	100	12234	58	111	30	25	87	30	1329	12	14	4788	25	39	53157	291	347	51054	613	448	282959	1316	1993	16739	139	127	181903	1101	1367	217527	1192	1527	30601	151	188	42676	202	255	1987	9	10	21773	277	193	8402	76	71	71651	915	697	59607	369	587	59585	300	442	67436	318	365	68030	297	315	81001	194	559	19505	234	180	22936	313	231	80482	267	568	131921	572	785	1429	10	11	1207	5	8	39	0	1	0	0	57	0	0	1	1	9	0	0	0	0	143	0	2	0	2	1691	9	20	4	1	9449	46	82	21	15	794	3	6	4	6	8	0	0	0	0	44	0	0	0	0
Putnam	47917	225	176	21119	64	70	35	16	17465	78	64	8	42	8319	74	34	21	6	1014	9	8	1	1	30	6	240	1	1	202	2	0	6953	27	16	1821	22	6	37676	168	151	1025	5	2	21857	108	85	25330	110	89	4144	12	7	5981	21	10	229	2	1	870	10	0	355	4	4	7765	84	34	5798	24	13	6166	25	22	9025	27	33	9531	41	33	9412	23	37	2404	31	10	2897	24	14	13689	30	59	16473	71	58	61	1	0	70	0	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	12	0	0	0	0	155	0	0	0	0	756	8	7	1	1	79	1	1	0	0	0	0	0	0	0	5	0	0	0	0
Santa Rosa	136663	782	421	28494	146	107	35	21	78807	378	230	33	59	24859	227	73	45	33	4503	31	11	10	10	22	9	798	5	2	2041	10	7	5791	47	21	2922	24	12	121867	667	366	3244	29	13	66040	363	199	69644	385	219	2857	16	9	4102	25	19	504	3	1	728	6	1	1258	7	9	25119	340	92	25038	137	62	24117	101	64	25678	98	65	19587	60	55	16632	45	82	13279	172	45	4331	51	21	22483	105	83	74157	355	209	350	1	2	1027	2	3	13	0	0	0	0	31	0	0	1	0	2	0	0	0	0	47	2	0	0	0	453	0	1	0	0	3511	24	8	9	6	408	4	2	0	4	3	1	0	0	0	35	0	0	0	0
Sarasota	310639	1839	970	95928	562	338	96	93	132674	666	382	94	115	72139	551	220	147	100	9898	60	30	18	47	46	22	1014	2	3	3087	36	5	10473	59	44	10785	120	27	275304	1529	865	9976	93	26	139708	784	468	163858	945	484	5919	31	28	8090	46	37	567	2	1	4605	46	15	2387	19	6	35690	506	112	30821	190	78	35185	209	70	50837	304	109	64156	382	146	92535	247	450	10793	148	32	11046	162	42	79211	432	279	126001	618	362	914	13	1	935	5	1	10	0	0	0	0	25	0	0	0	0	7	0	0	0	0	241	0	1	1	2	1076	4	2	2	1	7809	51	25	14	36	689	5	2	2	8	5	0	0	0	1	36	0	0	0	0
Seminole	290719	1616	5062	98011	571	1625	83	117	112499	484	1646	90	116	72615	524	1631	152	84	7594	37	160	20	28	46	36	1003	3	17	7612	73	83	28972	167	544	38661	372	760	197791	885	3365	16680	116	293	128186	661	2195	153170	830	2692	16821	89	318	22398	108	400	1341	11	17	16781	175	303	7789	63	129	52390	576	1321	49424	328	1285	50155	238	832	55897	179	692	44424	157	436	37278	134	495	15033	143	361	18071	215	396	50792	230	812	97620	380	1411	2303	23	25	1802	13	25	2	0	0	0	0	21	0	0	0	1	4	0	0	0	0	140	3	1	1	1	948	2	17	4	0	5617	26	121	14	13	827	6	20	1	13	1	0	0	0	0	34	0	1	0	0
St. Johns	181605	1502	623	43297	343	154	63	36	95173	752	300	42	107	37427	353	145	90	48	5708	54	24	13	17	45	9	509	4	2	3065	34	5	8203	62	24	5892	64	27	159943	1304	555	3993	34	10	85492	742	302	94204	749	314	4406	32	10	6267	41	20	498	5	2	1844	25	7	2043	16	11	30073	460	106	27095	315	105	31340	210	80	33615	191	79	30997	192	106	27003	131	146	13978	228	48	6339	98	25	33375	259	123	89862	706	280	684	11	2	1131	13	1	14	0	0	0	0	23	0	0	0	1	3	0	0	0	0	122	0	1	0	1	606	7	2	0	4	4310	43	21	11	10	608	3	0	2	1	1	0	0	0	0	21	1	0	0	0
St. Lucie	200397	1191	693	81891	415	278	59	88	63139	353	239	42	90	48502	395	150	112	48	6865	28	26	26	13	28	19	641	5	4	2447	15	5	33547	159	90	19796	180	54	136797	788	513	7169	44	27	91581	557	360	107053	611	331	19112	92	39	27111	114	65	1117	9	6	9225	84	22	3703	28	13	32280	356	115	25756	153	70	27696	143	62	35435	178	99	35775	239	119	42529	117	226	6300	82	28	13173	125	42	41444	192	171	56236	308	208	888	5	3	548	3	2	5	0	0	0	0	10	0	0	0	0	3	0	0	0	0	50	1	0	1	0	761	2	2	4	1	5767	24	22	21	11	252	1	2	1	2	3	0	0	0	0	14	0	0	0	0
Sumter	92210	691	258	24086	174	62	24	11	48455	321	149	15	45	16576	144	37	36	13	3093	52	10	6	12	15	4	343	0	2	581	6	1	3301	25	10	1707	15	4	85275	633	237	1003	12	4	42334	326	120	49418	359	136	1925	16	7	2769	21	6	153	1	0	610	8	2	554	1	2	5266	86	15	3926	41	22	4763	41	18	8584	93	18	27923	266	39	41544	163	146	2057	26	9	1490	29	4	20204	141	53	46976	312	144	118	0	1	247	4	0	2	0	0	0	1	7	0	0	0	0	0	0	0	0	0	14	0	0	0	0	451	4	0	0	0	2502	47	10	6	8	106	0	0	0	3	2	0	0	0	0	9	1	0	0	0
Suwannee	26157	135	573	11249	35	272	109	6	10868	76	174	5	115	3003	21	88	11	4	1037	3	39	1	1	105	5	96	2	3	88	1	6	2489	10	75	587	1	17	22400	116	455	497	5	17	11961	63	269	13952	69	300	1462	8	35	2202	9	66	125	0	2	243	0	9	183	0	3	4069	43	83	3376	19	129	3606	17	81	4805	22	96	4894	22	78	5362	12	105	1670	22	31	1421	12	27	8549	25	188	10321	72	161	27	0	3	34	0	2	7	0	1	0	0	17	0	0	0	0	0	0	0	0	0	10	0	2	0	0	174	2	5	0	0	774	1	30	1	0	51	0	0	0	1	1	0	0	0	0	3	0	1	0	0
Taylor	12963	66	31	7428	22	21	10	9	4214	27	10	8	10	1051	12	0	1	2	270	5	0	2	0	9	8	65	1	0	127	0	2	1747	7	5	139	1	0	10743	52	24	142	5	0	5993	24	10	6901	39	21	1048	4	3	1599	6	5	42	0	0	63	0	0	48	0	0	2119	18	5	1794	12	8	1822	17	1	2333	7	2	2412	6	9	2278	6	6	714	8	2	977	5	3	5601	12	14	4028	26	10	84	0	2	29	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	2	0	0	0	0	33	1	0	0	0	201	2	0	2	0	17	1	0	0	0	0	0	0	0	0	4	1	0	0	0
Union	7268	27	17	3709	7	8	7	5	2822	16	6	5	10	605	3	2	2	1	132	1	1	2	0	7	4	37	0	0	18	0	0	762	3	1	97	1	0	6302	21	16	52	2	0	3398	10	7	3840	16	10	441	3	0	694	3	1	27	0	0	42	0	0	38	0	0	1376	11	6	1259	5	2	1228	2	2	1396	6	3	1121	1	1	871	2	3	656	7	3	495	2	2	2931	3	7	2717	15	6	7	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	21	0	0	0	0	90	1	1	1	0	18	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Volusia	372725	2867	955	134136	790	353	165	106	128334	965	305	66	201	97735	1010	249	207	118	12520	102	48	34	47	76	26	1245	9	2	3560	37	6	33760	265	120	28807	378	71	292083	2067	724	13270	111	32	168833	1311	471	196206	1470	467	19523	156	50	26631	178	83	1142	10	3	12889	138	29	4836	59	11	59746	901	193	47109	475	134	49071	387	82	66995	459	118	69511	397	131	77934	245	292	13710	235	36	20921	247	76	88717	432	228	118390	866	282	1079	9	3	936	9	2	17	0	0	0	1	37	0	0	1	1	6	0	0	0	0	185	2	0	0	3	1588	28	5	2	0	9797	64	36	29	32	833	7	7	2	10	6	1	0	0	0	51	0	0	0	0
Wakulla	20227	197	56	9198	73	29	6	2	7612	72	19	4	7	2820	43	8	0	3	597	9	0	2	0	5	2	92	0	1	85	2	1	1850	23	3	223	4	1	17752	163	49	225	5	1	9372	88	25	10693	106	30	1052	17	1	1654	20	2	55	0	1	81	0	0	89	4	1	3261	58	12	3137	50	7	3400	29	7	3953	27	12	3537	24	4	2738	8	14	1265	22	4	1073	17	5	7324	52	25	7352	65	16	32	1	1	31	1	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	7	0	0	0	0	113	2	0	1	0	431	4	0	1	0	37	3	0	0	0	0	0	0	0	0	2	0	0	0	0
Walton	46528	381	147	10378	55	38	24	9	26518	220	74	12	44	8734	102	27	29	12	898	4	8	3	3	21	2	238	4	0	368	2	3	1551	6	3	739	9	3	42740	345	134	892	15	4	21820	174	80	24347	201	65	868	4	2	1130	5	1	202	0	1	211	0	1	279	4	1	6511	102	28	6744	50	19	7149	59	15	9138	80	23	9079	65	24	7832	24	37	3217	52	14	1071	22	3	8712	46	36	25396	205	67	58	0	0	182	2	3	1	0	0	0	0	6	0	0	0	1	1	0	0	0	0	12	0	0	1	0	127	1	0	0	0	613	3	8	1	1	132	0	0	1	1	0	0	0	0	0	6	0	0	0	0
Washington	15699	74	70	6051	11	20	12	3	7480	46	35	6	14	1925	15	13	4	3	243	2	2	0	2	10	3	138	1	0	59	0	0	1721	4	1	139	2	0	13364	64	67	278	3	2	7260	30	38	8358	42	32	965	4	0	1473	3	1	90	0	0	50	1	0	55	0	0	3020	28	11	2098	12	9	2332	14	9	2872	14	9	2635	3	12	2592	3	20	1441	17	7	854	3	0	4353	7	18	7164	44	34	18	0	0	26	0	0	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	41	1	1	0	1	158	1	1	0	0	32	0	0	0	1	1	0	0	0	0	4	0	0	0	0
Florida	13451419	85254	50863	5130305	28950	19045	7189	8368	4708740	24882	17703	4519	10435	3237817	28932	12424	11949	5005	374557	2490	1691	1468	1317	4465	1952	43754	275	181	239969	1787	674	1824011	10429	5792	2052761	17560	6467	8732791	49662	35821	558133	5541	1928	6075188	37954	23650	7092916	42424	26191	1045792	5487	3074	1465588	7311	4513	66625	364	213	796733	7503	2621	531058	2569	1539	2353875	31286	10086	2002637	13793	8077	2018574	11254	5982	2376823	11695	6783	2198990	10439	6687	2448829	6673	13124	598535	7911	2769	882880	10848	3641	2576036	11635	10927	3930647	20661	15342	75788	577	234	63255	371	172	797	11	6	4	4	1257	12	5	11	33	302	3	1	1	2	6081	28	27	31	41	52042	295	187	238	103	285271	1896	1314	1127	845	26950	232	142	88	318	201	7	2	1	12	1656	6	7	10	2
